ad,tip,enlem,boylam,mahalle,adres,sorgular,kaynak
Bezmiâlem Vakıf Üniversitesi Hastanesi,hastane,,,,,"Bezmiâlem Vakıf Üniversitesi Hastanesi, Fatih, İstanbul||Bezmiâlem Vakıf Üniversitesi Tıp Fakültesi Hastanesi, Fatih, İstanbul",Fatih Kaymakamlığı + OpenStreetMap
Haseki Eğitim ve Araştırma Hastanesi,hastane,,,,,"Haseki Eğitim ve Araştırma Hastanesi, Fatih, İstanbul||Haseki Hastanesi, Fatih, İstanbul",Fatih Kaymakamlığı + OpenStreetMap
Medical Park Fatih Hastanesi,hastane,,,,,"Medical Park Fatih Hastanesi, Fatih, İstanbul||Medical Park, Fatih, İstanbul",Fatih Kaymakamlığı + OpenStreetMap
Medilife Fatih Hastanesi,hastane,,,,,"Medilife Fatih Hastanesi, Fatih, İstanbul||Medilife, Fatih, İstanbul",Fatih Kaymakamlığı + OpenStreetMap
Medipol Üniversitesi Hastanesi,hastane,,,,,"Medipol Üniversitesi Hastanesi, Fatih, İstanbul||Medipol Hastanesi, Fatih, İstanbul",Fatih Kaymakamlığı + OpenStreetMap
Özel Fatih Hastanesi,hastane,,,,,"Özel Fatih Hastanesi, Fatih, İstanbul||Fatih Hastanesi, Fatih, İstanbul",Fatih Kaymakamlığı + OpenStreetMap
Özel Çapa Hastanesi,hastane,,,,,"Özel Çapa Hastanesi, Fatih, İstanbul||Çapa Hastanesi, Fatih, İstanbul",Fatih Kaymakamlığı + OpenStreetMap
İstanbul Eğitim ve Araştırma Hastanesi,hastane,,,,,"İstanbul Eğitim ve Araştırma Hastanesi, Fatih, İstanbul||Samatya Eğitim ve Araştırma Hastanesi, Fatih, İstanbul",Fatih Kaymakamlığı + OpenStreetMap
İstanbul Üniversitesi İstanbul Tıp Fakültesi Hastanesi (Çapa),hastane,,,,,"İstanbul Tıp Fakültesi Hastanesi, Fatih, İstanbul||Çapa Hastanesi, Fatih, İstanbul",Fatih Kaymakamlığı + OpenStreetMap
İstanbul Üniversitesi-Cerrahpaşa Cerrahpaşa Tıp Fakültesi Hastanesi,hastane,,,,,"Cerrahpaşa Tıp Fakültesi Hastanesi, Fatih, İstanbul||Cerrahpaşa Hastanesi, Fatih, İstanbul",Fatih Kaymakamlığı + OpenStreetMap
Aksaray polis merkezi,karakol,41.007752,28.95324,,,,OpenStreetMap
Beyazıt Polis Merkezi Amirliği,karakol,41.010495,28.96208,,,,OpenStreetMap
Cibali Karakolu,karakol,41.026313,28.958597,,,,OpenStreetMap
Fatih belediyesi zabıta müdürlüğü,karakol,41.016072,28.972299,,,,OpenStreetMap
Fatih ilce emniyet müdürlüğü polis merkezi,karakol,41.022164,28.945298,,,,OpenStreetMap
Fatih ilçe emniyet müdürlüğü çocuk polisi,karakol,41.028778,28.934391,,,,OpenStreetMap
